structure	div	simpson	leaves	minCycle	maxCycle	beatLevel
[[3,3,3],[2,2],[3,2]]	0.542422	0.333333	18	1.8000	5.0000	1
[[3,3,3],[2,3],[2,2]]	0.542422	0.333333	18	1.8000	5.0000	1
[[3,3,3],[3,2],[2,2]]	0.542422	0.333333	18	1.8000	5.0000	1
[[2,3,3],[2,3],[2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3,3],[2,3],[3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3,3],[3,2],[2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3,3],[3,2],[3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[2,3,3],[2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[2,3,3],[3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[2,3],[2,3,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[2,3],[3,2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[2,3],[3,3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[3,2,3],[2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[3,2,3],[3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[3,2],[2,3,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[3,2],[3,2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[3,2],[3,3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[3,3,2],[2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[2,3],[3,3,2],[3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2,3],[2,3],[2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2,3],[2,3],[3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2,3],[3,2],[2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2,3],[3,2],[3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2],[2,3,3],[2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2],[2,3,3],[3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2],[2,3],[2,3,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2],[2,3],[3,2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2],[2,3],[3,3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2],[3,2,3],[2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2],[3,2,3],[3,2]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2],[3,2],[2,3,3]]	0.542422	0.266667	18	1.8000	5.0000	1
[[3,2],[3,2],[3,2,3]]	0.542422	0.266667	18	1.8000	5.0000	1
